"","Año","Mes","Sede","Producto","Peso.Kg.","Tipo.de.Envase","Pais.Origen"
"16420","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARROZ, grano pilado",375000,"SACO(S)","URUGUAY"
"16421","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARROZ, grano pilado",125000,"SACO(S)","URUGUAY"
"16422","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARROZ, grano pilado",125000,"SACO(S)","URUGUAY"
"16423","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",114000,"SACO(S)","BOLIVIA"
"16424","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",115000,"SACO(S)","BOLIVIA"
"16425","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",115000,"SACO(S)","BOLIVIA"
"16426","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARROZ, grano pilado",2e+05,"SACO(S)","URUGUAY"
"16427","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°)",105950,"SACO(S)","COLOMBIA"
"16428","2021",7,"PUESTO DE CONTROL- CEBAF","ROSA, flores frescas cortadas",650,"CAJA(S)","ECUADOR"
"16429","2021",7,"PUESTO DE CONTROL- CEBAF","CLAVEL, flores frescas cortadas",100,"CAJA(S)","ECUADOR"
"16430","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",55500,"GRANEL","BOLIVIA"
"16431","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",55000,"GRANEL","BOLIVIA"
"16432","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","AZUCAR BLANCA O REFINADA (lectura polarimetrica mayor 99.5°)",85500,"SACO(S)","BOLIVIA"
"16433","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",82505,"SACO(S)","BOLIVIA"
"16434","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",99900,"GRANEL","BOLIVIA"
"16435","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",57000,"GRANEL","BOLIVIA"
"16436","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",84000,"GRANEL","BOLIVIA"
"16437","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",56990,"GRANEL","BOLIVIA"
"16438","2021",7,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","MELON, semilla",0.555,"SACHETS","EEUU"
"16439","2021",7,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","PIMIENTO, semilla",0.173,"SACHETS","EEUU"
