"","Año","Mes","Sede","Producto","Peso.Kg.","Tipo.de.Envase","Pais.Origen"
"18168","2021",8,"SANTA ROSA, TACNA","Prensas para paja o forraje, incluidas prensas recogedoras usadas
",1857.534,"SACO(S)","HOLANDA"
"18169","2021",8,"SANTA ROSA, TACNA","Prensas para paja o forraje, incluidas prensas recogedoras usadas
",2012.329,"PIEZAS","HOLANDA"
"18170","2021",8,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARVEJA, grano entero",25855,"SACO(S)","CANADA"
"18171","2021",8,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",84000,"SACO(S)","BOLIVIA"
"18172","2021",8,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",84000,"SACO(S)","BOLIVIA"
"18173","2021",8,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARVEJA, grano partido",74844,"SACO(S)","EEUU"
"18174","2021",8,"PUESTO DE CONTROL- CEBAF","CAÑA DE GUAYAQUIL, seca al natural",30000,"UNIDADES","ECUADOR"
"18175","2021",8,"PUESTO DE CONTROL- CEBAF","CAÑA DE GUAYAQUIL, seca al natural",34000,"UNIDADES","ECUADOR"
"18176","2021",8,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TE VERDE",48.99,"CAJA(S)","EEUU"
"18177","2021",8,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",116000,"SACO(S)","BOLIVIA"
"18178","2021",8,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MADERA, marcos",102,"UNIDADES","CHINA"
"18179","2021",8,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",116000,"SACO(S)","BOLIVIA"
"18180","2021",8,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MANZANA, fruto fresco",20109.6,"CAJA(S)","CHILE"
"18181","2021",8,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","AVENA, grano",8219790,"GRANEL","CANADA"
"18182","2021",8,"PUESTO DE CONTROL- CEBAF","CAÑA DE GUAYAQUIL, seca al natural",34000,"UNIDADES","ECUADOR"
"18183","2021",8,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",145000,"SACO(S)","BOLIVIA"
"18184","2021",8,"PUESTO DE CONTROL- CEBAF","ROSA, flores frescas cortadas",7733,"CAJA(S)","ECUADOR"
"18185","2021",8,"PUESTO DE CONTROL- CEBAF","CLAVEL, flores frescas cortadas",95,"CAJA(S)","ECUADOR"
"18186","2021",8,"SANTA ROSA, TACNA","PERA, fruta fresca",13986,"CAJA(S)","CHILE"
"18187","2021",8,"SANTA ROSA, TACNA","MANZANA, fruto fresco",10360,"CAJA(S)","CHILE"
"18188","2021",8,"PUERTO DE PAITA , PIURA","MADERA, puertas y marcos, contramarcos y umbrales de madera",454.21,"PIEZAS","ITALIA"
"18189","2021",8,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARROZ, grano pilado",3390.66,"SACO(S)","EEUU"
