"","Año","Mes","Sede","Producto","Peso.Kg.","Tipo.de.Envase","Pais.Origen"
"19957","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","NARANJA, fruto fresco",24000,"CAJA(S)","CHILE"
"19958","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MANZANA, fruto fresco",19796,"CAJA(S)","CHILE"
"19959","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",142480,"SACO(S)","BOLIVIA"
"19960","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",143690,"SACO(S)","BOLIVIA"
"19961","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",140000,"SACO(S)","BOLIVIA"
"19962","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","MANI, grano sin cáscara",29000,"SACO(S)","BOLIVIA"
"19963","2021",9,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","MAIZ, semilla",25.8,"CAJA(S)","MEXICO"
"19964","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",148500,"SACO(S)","BOLIVIA"
"19965","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MANZANA, fruto fresco",11760,"CAJA(S)","CHILE"
"19966","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","KIWI, fruto fresco",6720,"CAJA(S)","CHILE"
"19967","2021",9,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","CEBOLLA, seca industrial",0.45,"BOLSAS","ARGENTINA"
"19968","2021",9,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","CEBOLLIN, seco industrial",0.42,"BOLSAS","ARGENTINA"
"19969","2021",9,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","PIMIENTA, molida",0.16,"BOLSAS","ARGENTINA"
"19970","2021",9,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","PAPRIKA,  triturado o pulverizado",0.57,"BOLSAS","ARGENTINA"
"19971","2021",9,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","PIMENTON, polvo",0.47,"BOLSAS","ARGENTINA"
"19972","2021",9,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","NUEZ MOSCADA, triturada o molida",0.25,"BOLSAS","ARGENTINA"
"19973","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","FREJOL CANARIO, grano",66000,"SACO(S)","MEXICO"
"19974","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","LENTEJA, grano",184112,"SACO(S)","EEUU"
"19975","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",87000,"SACO(S)","BOLIVIA"
"19976","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","BAMBU, artículos de cestería obtenidos directamente en su forma con materia trenzable con algún proceso de la CRF 2",1417.5,"CAJA(S)","CHINA"
"19977","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",87000,"GRANEL","BOLIVIA"
"19978","2021",9,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","TRIGO, harina",1,"BOLSAS","COLOMBIA"
"19979","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, harina",57615,"SACO(S)","BOLIVIA"
"19980","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",56000,"GRANEL","BOLIVIA"
"19981","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",57620,"GRANEL","BOLIVIA"
"19982","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",56000,"GRANEL","BOLIVIA"
"19983","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",83830,"GRANEL","BOLIVIA"
"19984","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MANZANA, fruto fresco",20065.5,"CAJA(S)","CHILE"
"19985","2021",9,"OFICINA PUESTO DE CONTROL AEREO -  PROV. CONST. DEL CALLAO","TOMATE, semilla",0.18,"SACHETS","FRANCIA"
"19986","2021",9,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",84000,"GRANEL","BOLIVIA"
"19987","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MANZANA, fruto fresco",13965,"CAJA(S)","CHILE"
"19988","2021",9,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","LENTEJA, grano",181435,"SACO(S)","CANADA"
